	control_sample_32
MYO5B	168.2632439
CFAP53	3.76708755
MBD1	352.8505338
CXXC1	199.6556401
SKA1	3.76708755
MAPK4	1
MRO	1.674261133
ME2	496.8369913
ELAC1	32.22952682
SMAD4	892.381184
MEX3C	480.9315105
LOC100287225	1
DCC	1
LOC102724651	1
LOC101928167	1
MBD2	452.8876365
SNORA37	8.78987095
POLI	203.4227277
STARD6	1
C18orf54	46.46074645
DYNAP	1
RAB27B	650.031885
CCDC68	3.348522266
LOC101927229	1
TCF4	342.3864017
LINC01416	1
LINC01539	1
TXNL1	144.4050227
WDR7	693.9812397
LINC-ROR	1
BOD1L2	1
ST8SIA3	1
ONECUT2	1.674261133
FECH	3216.674202
NARS	748.3947266
LOC100505549	71.57466345
ATP8B1	96.68858045
NEDD4L	84.13162195
ALPK2	2.092826417
LOC101927322	2.929956983
MALT1	863.0816142
ZNF532	61.94766193
OACYLP	1
SEC11C	60.69196608
GRP	1
RAX	1
CPLX4	1
LMAN1	520.2766472
CCBE1	1.25569585
PMAIP1	51.06496456
MC4R	1
CDH20	1.674261133
LINC01544	1
RNF152	7.952740383
PIGN	272.0674342
KIAA1468	976.512806
TNFRSF11A	9.208436233
ZCCHC2	453.7247671
PHLPP1	81.62023025
BCL2	1043.483251
KDSR	148.5906756
VPS4B	925.8664067
SERPINB5	1
SERPINB12	1
SERPINB13	1
SERPINB4	1
SERPINB3	1
SERPINB11	1
SERPINB7	1
SERPINB2	6.697044533
SERPINB10	3.348522266
HMSD	1
SERPINB8	109.6641042
LINC00305	1
LOC284294	1
LINC01538	1
CDH7	1
CDH19	1
DSEL	49.39070343
LOC643542	1
TMX3	467.5374215
CCDC102B	22.6025253
DOK6	83.71305666
CD226	690.6327175
RTTN	397.2184539
SOCS6	40.1822672
LOC101927481	1
LOC101060542	1
GTSCR1	6.27847925
LINC01541	1
LOC102724913	1
CBLN2	1
NETO1	16.32404605
LOC400655	1
LOC100505817	1
FBXO15	4.604218116
TIMM21	47.29787701
CYB5A	51.06496456
C18orf63	1
LOC101927606	1
FAM69C	1
CNDP2	278.3459134
CNDP1	1
LINC00909	126.4067156
ZNF407	827.9221304
ZADH2	456.2361588
TSHZ1	93.34005818
SMIM21	1
LOC339298	1
ZNF516	688.539891
C18orf65	5.0227834
LINC00908	1
LINC00683	1
LOC101927651	1
LOC400661	1
LOC100131655	4.604218116
ZNF236	334.4336614
MBP	2396.704812
GALR1	1
LINC01029	1
SALL3	1
ATP9B	465.0260298
NFATC1	79.10883855
CTDP1	344.0606629
KCNG2	1.674261133
PQLC1	408.5197165
HSBP1L1	23.85822115
TXNL4A	155.2877201
RBFA	62.7847925
RBFADN	1
ADNP2	121.3839322
PARD6G-AS1	5.0227834
PARD6G	18.41687247
WASH5P	1.25569585
OR4F17	1
LINC01002	7.5341751
PPAP2C	1.674261133
MIER2	20.50969888
THEG	1
C2CD4C	1
SHC2	1.25569585
ODF3L2	1
MADCAM1	3.76708755
TPGS1	20.50969888
CDC34	1845.454334
GZMM	153.1948937
BSG	5485.716603
HCN2	2.5113917
POLRMT	174.9602884
FGF22	1
RNF126	85.80588308
FSTL3	9.627001516
PRSS57	2.092826417
PALM	1
MISP	1.25569585
PTBP1	535.7635626
LPPR3	1
AZU1	2.929956983
PRTN3	1
ELANE	2.929956983
CFD	223.095296
MED16	254.9062575
R3HDM4	2831.175576
KISS1R	2.929956983
ARID3A	125.9881503
WDR18	53.15779098
GRIN3B	2.929956983
TMEM259	400.9855414
CNN2	878.5685297
ABCA7	558.7846532
HMHA1	2346.895544
POLR2E	102.1299291
GPX4	411.0311082
SBNO2	673.4715408
STK11	814.109476
C19orf26	1
ATP5D	25.95104757
MIDN	115.9425835
CIRBP-AS1	34.32235323
CIRBP	1135.986179
C19orf24	22.18396002
EFNA2	1
MUM1	97.9442763
NDUFS7	71.15609816
GAMT	15.90548077
DAZAP1	187.9358122
RPS15	1114.639349
APC2	49.80926871
C19orf25	109.6641042
PCSK4	1.674261133
REEP6	2.5113917
ADAMTSL5	5.859913966
PLK5	1
MEX3D	12.13839322
MBD3	202.5855971
UQCR11	146.9164144
TCF3	228.95521
ONECUT3	1
ATP8B3	7.5341751
REXO1	54.83205211
LOC100288123	3.348522266
KLF16	44.78648531
ABHD17A	323.1323987
ADAT3	5.859913966
SCAMP4	12.13839322
CSNK1G2	510.2310804
CSNK1G2-AS1	15.0683502
BTBD2	107.1527125
MKNK2	648.3576239
MOB3A	246.1163866
IZUMO4	7.115609816
AP3D1	366.6631882
DOT1L	74.08605515
PLEKHJ1	105.8970167
SF3A2	23.85822115
AMH	1.674261133
JSRP1	2.929956983
OAZ1	16632.94723
C19orf35	19.25400303
LINGO3	111.7569306
LSM7	29.29956983
SPPL2B	75.76031628
TMPRSS9	82.03879553
TIMM13	69.48183703
LMNB2	84.96875251
GADD45B	187.9358122
GNG7	64.04048835
MIR7850	1
DIRAS1	3.76708755
SLC39A3	56.50631325
SGTA	16.32404605
THOP1	38.50800606
ZNF554	31.81096153
ZNF555	105.4784514
ZNF556	1.25569585
ZNF57	17.16117662
ZNF77	29.29956983
TLE6	1
TLE2	7.952740383
AES	354.9433602
GNA11	12.5569585
GNA15	82.03879553
LOC100996351	2.092826417
S1PR4	740.0234209
NCLN	127.6624114
CELF5	1
NFIC	22.18396002
SMIM24	14.23121963
DOHH	19.67256832
FZR1	238.1636462
C19orf71	20.0911336
MFSD12	148.1721103
HMG20B	94.59575403
GIPC3	2.092826417
TBXA2R	12.5569585
CACTIN-AS1	1.674261133
CACTIN	68.22614118
PIP5K1C	45.2050506
TJP3	25.95104757
APBA3	71.15609816
MRPL54	42.27509361
RAX2	1
MATK	179.1459413
ZFR2	2.5113917
ATCAY	1
NMRK2	1
DAPK3	117.6168446
MIR637	2.092826417
EEF2	9494.316321
SNORD37	4.185652833
PIAS4	77.43457741
ZBTB7A	90.82866648
MAP2K2	485.9542939
CREB3L3	1
SIRT6	42.6936589
ANKRD24	2.929956983
EBI3	1
CCDC94	67.38901061
SHD	1.25569585
TMIGD2	43.53078946
FSD1	3.348522266
STAP2	2.092826417
MPND	57.34344381
SH3GL1	201.3299013
CHAF1A	49.39070343
UBXN6	5042.037403
MIR4746	1
HDGFRP2	123.0581933
PLIN4	47.29787701
PLIN5	35.99661436
LRG1	331.5037044
SEMA6B	2.092826417
TNFAIP8L1	102.1299291
MYDGF	82.03879553
DPP9	135.1965865
DPP9-AS1	3.76708755
MIR7-3HG	1
MIR7-3	1
FEM1A	444.5163309
TICAM1	5.441348683
PLIN3	269.9746077
ARRDC5	32.22952682
UHRF1	49.80926871
KDM4B	575.1086993
PTPRS	17.99830718
ZNRF4	1
TINCR	1
SAFB2	386.7543218
SAFB	447.0277226
C19orf70	43.11222418
HSD11B1L	4.604218116
RPL36	884.8470089
LONP1	164.9147216
CATSPERD	1
PRR22	2.5113917
DUS3L	90.4101012
NRTN	1
FUT6	1
FUT3	1
LOC101928844	1
FUT5	1
NDUFA11	124.3138891
VMAC	75.341751
CAPS	53.15779098
RANBP3	162.8218952
LOC100128568	2.092826417
RFX2	59.43627023
ACSBG2	6.27847925
MLLT1	73.24892458
ACER1	1.25569585
CLPP	52.32066041
ALKBH7	58.18057438
PSPN	1.674261133
GTF2F1	282.5315662
MIR6885	1
KHSRP	94.17718875
SLC25A41	1
SLC25A23	9.208436233
CRB3	2.5113917
DENND1C	66.97044533
TUBB4A	1
TNFSF9	1
CD70	4.604218116
TNFSF14	256.999084
C3	7.5341751
GPR108	195.8885526
MIR6791	1
TRIP10	20.92826417
SH2D3A	51.90209513
VAV1	979.8613282
ADGRE1	213.8868598
ADGRE4P	94.59575403
FLJ25758	1
MBD3L2	1
MBD3L3	1
ZNF557	298.8556123
INSR	105.0598861
ARHGEF18	1152.72879
LOC100128573	10.46413208
PEX11G	12.5569585
C19orf45	1
ZNF358	8.78987095
MCOLN1	256.5805187
PNPLA6	259.0919104
CAMSAP3	2.5113917
XAB2	120.5468016
PET100	41.85652833
PCP2	11.30126265
STXBP2	390.5214093
RETN	7.952740383
MCEMP1	12.13839322
TRAPPC5	197.981379
FCER2	33.06665738
CLEC4G	2.929956983
CD209	1
CLEC4M	1
CLEC4GP1	1
EVI5L	30.55526568
PRR36	1
LYPLA2P2	1
LRRC8E	4.604218116
MAP2K7	217.6539473
TGFBR3L	1
SNAPC2	12.5569585
CTXN1	1
TIMM44	59.01770495
ELAVL1	261.1847368
CCL25	1
FBN3	2.092826417
CERS4	69.06327175
CD320	29.29956983
NDUFA7	38.92657135
RPS28	796.9482994
KANK3	16.32404605
ANGPTL4	2.5113917
RAB11B-AS1	1.674261133
MIR4999	1
RAB11B	65.71474948
Mar-02	1061.062993
HNRNPM	574.690134
PRAM1	41.01939776
ZNF414	6.27847925
MYO1F	3096.545966
ADAMTS10	68.22614118
ACTL9	1
OR2Z1	1
ZNF558	140.2193699
MBD3L1	1
MUC16	3.348522266
OR1M1	1
OR7G2	1
OR7G1	1
OR7G3	1
ZNF317	308.9011791
OR7D2	1
OR7D4	1
OR7E24	1
ZNF699	100.8742333
ZNF559	154.4505895
ZNF559-ZNF177	2.5113917
ZNF177	1
ZNF266	537.0192585
ZNF560	1
ZNF426	102.9670597
ZNF121	164.9147216
ZNF561	155.2877201
ZNF561-AS1	13.81265435
ZNF562	257.4176492
ZNF812	1
ZNF846	56.50631325
FBXL12	34.74091851
UBL5	161.1476341
PIN1	99.61853743
OLFM2	16.74261133
COL5A3	47.29787701
RDH8	1
C3P1	1
C19orf66	94.59575403
ANGPTL6	2.929956983
PPAN	5.859913966
SNORD105	1
SNORD105B	1
P2RY11	7.5341751
EIF3G	455.8175935
DNMT1	377.9644508
S1PR2	12.97552378
MIR4322	1
MRPL4	16.74261133
ICAM1	149.4278061
ICAM4	47.7164423
ICAM5	4.604218116
ZGLP1	6.697044533
FDX1L	13.39408907
RAVER1	50.227834
ICAM3	2623.985761
TYK2	971.4900226
CDC37	487.6285551
PDE4A	8.371305666
KEAP1	155.7062854
S1PR5	161.1476341
ATG4D	72.41179401
KRI1	167.8446786
CDKN2D	474.6530313
AP1M2	8.371305666
SLC44A2	474.234466
ILF3-AS1	51.90209513
ILF3	1007.905202
QTRT1	54.41348683
DNM2	805.3196051
MIR638	1
MIR4748	1
MIR199A1	3.348522266
MIR6793	1
TMED1	71.57466345
C19orf38	149.4278061
CARM1	447.0277226
YIPF2	84.55018723
C19orf52	61.52909665
SMARCA4	171.1932009
LDLR	31.39239625
SPC24	2.929956983
KANK2	177.0531148
DOCK6	1.25569585
C19orf80	1
TSPAN16	26.78817813
RAB3D	609.4310525
TMEM205	94.59575403
CCDC159	33.06665738
LPPR2	58.18057438
SWSAP1	16.74261133
EPOR	64.87761891
RGL3	1
CCDC151	1.674261133
PRKCSH	162.4033299
ELAVL3	1.25569585
ZNF653	34.32235323
MIR7974	1
ECSIT	152.7763284
CNN1	4.604218116
ELOF1	290.4843066
ACP5	105.0598861
ZNF627	92.08436233
ZNF833P	1
ZNF823	37.6708755
ZNF441	157.3805465
ZNF491	22.6025253
ZNF440	113.4311918
ZNF439	113.0126265
ZNF69	22.18396002
ZNF700	276.6716523
ZNF763	53.15779098
ZNF433	11.30126265
ZNF878	4.185652833
ZNF844	124.7324544
ZNF788	10.0455668
ZNF625-ZNF20	2.092826417
ZNF625	10.0455668
ZNF136	173.2860273
LOC100289333	6.27847925
ZNF44	195.4699873
ZNF563	35.99661436
ZNF442	5.0227834
ZNF799	65.71474948
ZNF443	56.92487853
ZNF709	61.94766193
ZNF564	137.2894129
ZNF490	89.57297063
ZNF791	190.8657692
MAN2B1	596.4555287
WDR83	31.39239625
WDR83OS	113.8497571
DHPS	135.6151518
FBXW9	6.697044533
TNPO2	134.3594559
C19orf43	112.1754959
ASNA1	165.7518522
BEST2	1.674261133
HOOK2	21.76539473
JUNB	616.5466623
PRDX2	644.171971
RNASEH2A	38.92657135
RTBDN	1
MAST1	2.5113917
DNASE2	169.1003745
KLF1	447.0277226
GCDH	92.08436233
SYCE2	3.348522266
FARSA	87.48014421
CALR	958.9330641
RAD23A	269.5560425
GADD45GIP1	38.92657135
DAND5	1
NFIX	246.5349519
LYL1	986.9769381
TRMT1	111.3383654
NACC1	44.78648531
STX10	243.6049949
IER2	244.4421255
CACNA1A	7.115609816
CCDC130	100.0371027
MRI1	158.2176771
C19orf53	37.6708755
ZSWIM4	11.71982793
LOC284454	127.2438461
MIR24-2	1
MIR27A	3.348522266
MIR23A	7.5341751
NANOS3	1
C19orf57	4.604218116
CC2D1A	19.67256832
PODNL1	3.348522266
DCAF15	95.85144988
RFX1	28.88100455
RLN3	5.0227834
IL27RA	386.3357565
PALM3	1.25569585
LOC113230	5.0227834
C19orf67	3.76708755
SAMD1	27.20674342
PRKACA	61.52909665
ASF1B	41.43796305
LOC100507373	11.30126265
ADGRL1	74.08605515
ADGRE5	1503.486498
DDX39A	263.2775632
PKN1	386.7543218
PTGER1	1
GIPC1	57.34344381
DNAJB1	403.9154984
TECR	55.2506174
NDUFB7	48.13500758
CLEC17A	84.13162195
ADGRE3	523.2066041
ZNF333	228.5366447
ADGRE2	355.3619255
OR7C1	1
OR7A5	1
OR7A10	1
OR7A17	1
OR7C2	1
SLC1A6	1
CCDC105	1
CASP14	1
OR1I1	1
SYDE1	2.929956983
ILVBL	77.01601213
NOTCH3	1
EPHX3	1
BRD4	242.7678643
AKAP8	244.4421255
AKAP8L	334.0150961
WIZ	20.92826417
MIR1470	1
RASAL3	229.3737753
PGLYRP2	1
CYP4F22	2.5113917
CYP4F8	1
CYP4F3	346.9906199
CYP4F12	10.0455668
OR10H2	1
OR10H3	1
CYP4F24P	1
OR10H5	1
OR10H1	1
UCA1	1
LOC102724279	4.185652833
CYP4F2	1
CYP4F11	1
OR10H4	1
LINC00661	1
LINC00905	1
TPM4	983.6284158
RAB8A	301.7855693
HSH2D	340.2935753
CIB3	5.0227834
FAM32A	295.9256553
AP1M1	284.6243927
KLF2	686.8656299
EPS15L1	163.2404605
CALR3	1
C19orf44	11.30126265
CHERP	25.95104757
SLC35E1	159.0548077
MED26	60.69196608
SMIM7	173.2860273
TMEM38A	11.71982793
NWD1	1.25569585
SIN3B	124.3138891
F2RL3	8.371305666
CPAMD8	34.74091851
HAUS8	30.1367004
MYO9B	722.0251137
USE1	23.85822115
OCEL1	16.32404605
NR2F6	5.0227834
USHBP1	1.674261133
BABAM1	526.9736917
ANKLE1	15.90548077
ABHD8	21.76539473
MRPL34	53.99492155
DDA1	36.83374493
ANO8	25.53248228
GTPBP3	13.81265435
PLVAP	45.2050506
BST2	181.2387677
MVB12A	20.0911336
BISPR	43.11222418
TMEM221	1.674261133
NXNL1	1
SLC27A1	22.6025253
PGLS	119.2911057
FAM129C	196.3071179
COLGALT1	271.6488689
UNC13A	1
MAP1S	38.50800606
FCHO1	236.9079504
B3GNT3	1.674261133
INSL3	3.348522266
JAK3	581.8057438
RPL18A	1653.332869
SNORA68	6.697044533
SLC5A5	1.25569585
CCDC124	20.50969888
KCNN1	1.25569585
ARRDC2	382.5686689
IL12RB1	142.7307616
MAST3	351.594838
PIK3R2	84.55018723
IFI30	1568.782682
MPV17L2	12.97552378
RAB3A	2.929956983
PDE4C	1
LOC729966	1
KIAA1683	16.74261133
JUND	336.5264878
MIR3188	1
LSM4	164.4961563
PGPEP1	159.8919382
GDF15	4.185652833
MIR3189	1
LRRC25	533.6707362
SSBP4	78.69027326
ISYNA1	20.50969888
ELL	230.2109058
FKBP8	13470.26795
KXD1	84.13162195
UBA52	6783.268981
C19orf60	79.10883855
CRLF1	2.092826417
TMEM59L	1
KLHL26	18.41687247
CRTC1	40.60083248
COMP	2.5113917
UPF1	653.3804073
CERS1	1
COPE	280.0201745
DDX49	131.429499
HOMER3	25.95104757
SUGP2	475.9087271
ARMC6	105.4784514
SLC25A42	56.08774796
TMEM161A	19.67256832
MEF2B	1
MEF2BNB	23.43965587
RFXANK	103.8041903
NR2C2AP	33.48522266
NCAN	2.5113917
HAPLN4	1
TM6SF2	1
SUGP1	82.45736081
MAU2	234.3965587
GATAD2A	325.2252251
MIR640	2.5113917
TSSK6	21.76539473
NDUFA13	153.613459
YJEFN3	1.674261133
CILP2	1
PBX4	22.18396002
LPAR2	100.8742333
GMIP	348.664881
ATP13A1	104.2227555
ZNF101	675.9829325
ZNF14	166.1704175
LINC00663	11.71982793
ZNF506	395.1256274
ZNF253	108.4084084
ZNF93	29.71813512
ZNF682	29.29956983
ZNF90	24.69535172
ZNF486	115.1054529
ZNF826P	1
ZNF737	324.8066599
ZNF626	70.3189676
ZNF85	33.06665738
ZNF430	236.9079504
ZNF714	90.82866648
ZNF431	219.7467737
ZNF708	249.4649089
ZNF738	84.96875251
ZNF493	191.7028998
LINC00664	1
ZNF429	43.11222418
ZNF100	154.4505895
LOC641367	13.81265435
ZNF43	157.3805465
ZNF208	60.2734008
ZNF257	76.17888156
ZNF676	1
ZNF729	1
ZNF98	1
LOC101929124	1
LINC01233	1
GOLGA2P9	1
LOC100996349	1
ZNF492	4.604218116
ZNF99	1
ZNF728	1
LOC101929164	1
LOC101929144	1
ZNF730	2.092826417
ZNF724P	9.208436233
IPO5P1	170.3560703
ZNF91	663.0074088
LINC01224	1
ZNF675	76.17888156
ZNF681	86.22444836
RPSAP58	25.95104757
ZNF726	6.697044533
ZNF254	213.8868598
HAVCR1P1	2.092826417
LINC00662	24.27678643
LOC101927151	41.01939776
LOC100420587	1.25569585
LINC00906	1
LOC102724958	1
LINC01532	1
UQCRFS1	197.1442484
LOC284395	1
VSTM2B	1
POP4	116.3611488
PLEKHF1	106.315582
C19orf12	149.4278061
CCNE1	8.78987095
URI1	460.8403769
ZNF536	1
TSHZ3	28.88100455
THEG5	1
LINC01533	1
LOC101927411	1
ZNF507	344.8977934
LOC400684	7.5341751
DPY19L3	202.1670318
PDCD5	74.50462043
ANKRD27	304.296961
RGS9BP	2.092826417
NUDT19	73.24892458
TDRD12	1
SLC7A9	1.25569585
CEP89	17.16117662
FAAP24	15.90548077
RHPN2	5.859913966
GPATCH1	93.75862346
WDR88	16.32404605
LRP3	12.13839322
SLC7A10	1
CEBPA	177.8902454
CEBPA-AS1	7.5341751
CEBPG	239.8379073
PEPD	171.1932009
CHST8	7.115609816
KCTD15	44.36792003
LSM14A	925.8664067
KIAA0355	205.5155541
GPI	174.1231579
PDCD2L	12.97552378
UBA2	458.3289852
WTIP	1
SCGB1B2P	1
SCGB2B2	1
SCGB2B3P	1
ZNF302	195.051422
ZNF181	102.5484944
ZNF599	15.0683502
LOC400685	10.46413208
LINC00904	1
ZNF30-AS1	1
ZNF30	38.50800606
ZNF792	213.4682945
GRAMD1A	156.543416
SCN1B	10.0455668
HPN	1
HPN-AS1	1
FXYD3	1
LGI4	2.092826417
FXYD1	1
FXYD7	1
FXYD5	92.50292761
FAM187B	1
LSR	71.99322873
USF2	167.4261133
HAMP	1
MAG	1
CD22	165.7518522
MIR5196	1
FFAR1	1
FFAR3	5.0227834
LINC01531	11.71982793
FFAR2	885.2655742
KRTDAP	1
DMKN	1
SBSN	1
GAPDHS	20.92826417
TMEM147-AS1	10.88269737
TMEM147	54.83205211
ATP4A	3.348522266
LOC102723617	1
HAUS5	31.39239625
RBM42	69.90040231
ETV2	3.76708755
COX6B1	493.9070343
UPK1A	1.674261133
UPK1A-AS1	1
ZBTB32	22.6025253
KMT2B	72.41179401
IGFLR1	104.2227555
U2AF1L4	25.113917
PSENEN	153.613459
LIN37	17.99830718
HSPB6	1
PROSER3	6.697044533
ARHGAP33	9.208436233
LINC01529	1
PRODH2	1
NPHS1	1.25569585
KIRREL2	1
APLP1	1.674261133
NFKBID	54.41348683
HCST	91.66579705
TYROBP	531.9964751
LRFN3	5.441348683
SDHAF1	49.80926871
SYNE4	2.092826417
ALKBH6	27.6253087
LOC101927572	1
CLIP3	5.441348683
THAP8	8.371305666
WDR62	7.952740383
OVOL3	1.25569585
POLR2I	30.1367004
TBCB	138.5451088
CAPNS1	257.8362145
COX7A1	2.929956983
ZNF565	25.113917
ZNF146	524.4623
LOC100134317	1
LINC00665	5.0227834
ZFP14	234.8151239
ZFP82	65.2961842
LOC644189	1
ZNF566	94.17718875
LOC728752	1.674261133
ZNF260	118.8725405
ZNF529	184.1687247
ZNF529-AS1	17.5797419
ZNF382	41.85652833
ZNF461	47.29787701
LINC01534	20.0911336
ZNF567	99.61853743
ZNF850	79.94596911
LOC728485	3.348522266
ZNF790-AS1	12.5569585
ZNF790	59.01770495
ZNF345	63.62192306
ZNF829	47.7164423
ZNF568	83.71305666
ZNF420	137.2894129
ZNF585A	91.66579705
ZNF585B	106.315582
ZNF383	81.20166496
LINC01535	2.092826417
LOC284412	1
HKR1	114.2683223
ZNF527	80.78309968
ZNF569	57.34344381
ZNF570	66.55188005
ZNF793-AS1	1
ZNF793	50.64639928
ZNF571-AS1	18.83543775
ZNF540	120.1282363
ZNF571	35.57804908
ZFP30	105.8970167
ZNF781	35.57804908
ZNF607	82.45736081
ZNF573	79.10883855
LOC644554	1
LOC100631378	1
WDR87	1.25569585
SIPA1L3	56.50631325
DPF1	1
PPP1R14A	1
SPINT2	212.2125986
YIF1B	87.8987095
KCNK6	63.62192306
CATSPERG	15.0683502
PSMD8	252.8134311
GGN	5.0227834
SPRED3	1.674261133
FAM98C	36.41517965
RASGRP4	120.5468016
RYR1	14.23121963
MAP4K1	105.4784514
EIF3K	466.2817256
ACTN4	588.5027883
CAPN12	16.74261133
LGALS7	1
LGALS7B	1
LGALS4	3.76708755
ECH1	258.6733451
HNRNPL	925.0292761
RINL	172.4488967
SIRT2	182.4944635
NFKBIB	58.59913966
CCER2	2.092826417
SARS2	23.02109058
MRPS12	46.04218116
FBXO17	1
FBXO27	1
PAPL	1
PAK4	10.46413208
NCCRP1	1
SYCN	1
IFNL3	1
IFNL4	1
IFNL2	1
IFNL1	1.25569585
LRFN1	20.50969888
GMFG	455.8175935
SAMD4B	74.08605515
PAF1	107.1527125
MED29	135.6151518
ZFP36	179.5645065
MIR4530	1
PLEKHG2	51.90209513
RPS16	83.71305666
SUPT5H	409.7754124
TIMM50	58.59913966
DLL3	1
SELV	1
EID2B	12.5569585
EID2	45.2050506
LGALS13	1
LOC100129935	1
LGALS16	1
LGALS17A	1
LGALS14	1
CLC	121.3839322
LEUTX	1
DYRK1B	44.78648531
MIR6719	1
FBL	274.1602606
FCGBP	89.15440535
PSMC4	278.7644787
ZNF546	113.8497571
ZNF780B	657.5660601
ZNF780A	589.3399189
MAP3K10	32.22952682
TTC9B	1
CNTD2	1
AKT2	538.6935196
MIR641	5.859913966
C19orf47	8.78987095
PLD3	154.4505895
HIPK4	2.5113917
PRX	25.53248228
SERTAD1	51.90209513
SERTAD3	71.15609816
BLVRB	2783.877699
SPTBN4	3.76708755
SHKBP1	235.6522545
LTBP4	26.78817813
NUMBL	8.371305666
ADCK4	107.5712778
ITPKC	51.48352985
C19orf54	6.27847925
SNRPA	47.7164423
MIA	1.674261133
EGLN2	3.76708755
CYP2A6	5.859913966
CYP2A7	2.092826417
CYP2G1P	1
CYP2B7P	1.25569585
CYP2B6	1
CYP2A13	1
CYP2F1	1.674261133
CYP2S1	1.674261133
AXL	3.76708755
HNRNPUL1	386.7543218
CCDC97	60.69196608
TGFB1	159.4733729
B9D2	28.46243927
TMEM91	89.57297063
EXOSC5	32.22952682
BCKDHA	141.893631
B3GNT8	81.20166496
ATP5SL	61.94766193
ERICH4	1
PCAT19	1
LINC01480	7.5341751
CEACAM21	99.61853743
CEACAM4	127.6624114
CEACAM7	1
CEACAM5	1
CEACAM6	6.697044533
CEACAM3	171.1932009
LYPD4	1
DMRTC2	1
RPS19	2146.402773
MIR6797	1
CD79A	85.80588308
ARHGEF1	804.0639092
RABAC1	149.4278061
ATP1A3	2.929956983
GRIK5	1
ZNF574	35.1594838
POU2F2	113.4311918
LOC100505622	16.74261133
MIR4323	2.929956983
DEDD2	305.5526568
ZNF526	63.62192306
GSK3A	89.15440535
ERF	49.80926871
CIC	106.315582
PAFAH1B3	19.67256832
PRR19	1
TMEM145	1
MEGF8	45.62361588
CNFN	1.25569585
LOC101930071	1
LIPE-AS1	6.27847925
LIPE	30.97383097
CXCL17	1
CEACAM1	43.11222418
CEACAM8	12.97552378
PSG3	1
PSG8	1
LOC100289650	1
PSG10P	1
PSG1	1
PSG6	1
PSG7	1
PSG11	1
PSG2	1
PSG5	1
PSG4	1
LOC284344	1
PSG9	1
PRG1	1
CD177	3.348522266
TEX101	1
LYPD3	2.092826417
PHLDB3	25.95104757
ETHE1	50.227834
ZNF575	3.348522266
XRCC1	53.15779098
PINLYP	1
IRGQ	138.5451088
ZNF576	45.2050506
ZNF428	21.34682945
SRRM5	5.0227834
CADM4	12.5569585
PLAUR	201.3299013
IRGC	1
SMG9	43.53078946
KCNN4	79.94596911
LYPD5	1
ZNF283	86.64301365
ZNF404	16.74261133
LOC100505715	16.74261133
ZNF45	173.7045926
ZNF221	21.34682945
ZNF155	44.36792003
LOC101928063	2.929956983
ZNF230	92.50292761
ZNF222	26.78817813
ZNF223	38.92657135
ZNF284	44.78648531
ZNF224	56.50631325
LOC100379224	12.13839322
ZNF225	75.341751
ZNF234	121.3839322
ZNF226	242.7678643
ZNF227	215.9796862
ZNF233	16.74261133
ZNF235	105.4784514
ZNF112	5.0227834
ZNF285	17.5797419
ZNF229	9.627001516
ZNF180	169.1003745
CEACAM20	1
CEACAM22P	1
IGSF23	1.25569585
PVR	62.7847925
MIR4531	1
CEACAM19	1.25569585
CEACAM16	1
BCL3	25.95104757
MIR8085	1
CBLC	1
BCAM	9.208436233
PVRL2	8.371305666
TOMM40	77.01601213
APOE	1
APOC1	1
APOC1P1	1
APOC4-APOC2	1
CLPTM1	81.20166496
RELB	130.5923684
CLASRP	57.7620091
ZNF296	10.46413208
GEMIN7	42.6936589
PPP1R37	53.15779098
NKPD1	5.441348683
TRAPPC6A	53.99492155
BLOC1S3	22.18396002
EXOC3L2	1.25569585
MARK4	25.53248228
CKM	1.674261133
KLC3	127.2438461
ERCC2	25.95104757
PPP1R13L	2.929956983
CD3EAP	3.76708755
ERCC1	105.8970167
MIR6088	1
FOSB	2.5113917
RTN2	10.0455668
PPM1N	14.23121963
VASP	1642.868737
OPA3	69.48183703
GPR4	1
EML2	93.75862346
MIR330	1
EML2-AS1	1.25569585
GIPR	9.208436233
SNRPD2	112.5940612
QPCTL	8.78987095
FBXO46	37.25231021
BHMG1	1
SIX5	2.929956983
DMPK	16.32404605
DMWD	26.78817813
RSPH6A	1
SYMPK	143.9864575
FOXA3	1
IRF2BP1	95.4328846
MYPOP	7.115609816
NANOS2	1
NOVA2	1
CCDC61	30.55526568
MIR769	1
PGLYRP1	9.208436233
IGFL4	1
LOC400706	1.674261133
IGFL3	1
IGFL2	1
DKFZp434J0226	1
RNU6-66P	1
IGFL1	1
HIF3A	1
PPP5C	96.27001516
CCDC8	1
PNMAL1	1.674261133
PPP5D1	1
PNMAL2	3.348522266
CALM3	422.7509361
PTGIR	39.76370191
GNG8	1
DACT3	1
DACT3-AS1	1.674261133
PRKD2	209.2826417
MIR320E	5.441348683
STRN4	74.50462043
FKRP	38.50800606
SLC1A5	681.4242812
SNAR-E	1
AP2S1	284.2058274
ARHGAP35	396.3813233
NPAS1	1.674261133
TMEM160	23.85822115
ZC3H4	104.6413208
SAE1	236.4893851
BBC3	82.03879553
CCDC9	49.39070343
INAFM1	12.97552378
C5AR1	198.3999443
C5AR2	238.5822115
DHX34	332.7594002
MEIS3	1
SLC8A2	1
KPTN	8.78987095
NAPA-AS1	7.115609816
NAPA	256.999084
ZNF541	1.674261133
GLTSCR1	12.97552378
EHD2	1
GLTSCR2	959.3516294
SNORD23	2.092826417
